id,exp_id,"subject_id","stage","cond",trial_idx,task_id,"task","optionA","optionB","optionC","optionD","correct_answer","recorded_answer",recorded_accuracy,recorded_time_to_action,recorded_time_to_submit,"recorded_action_result",recorded_action_count,"timestamp"
2,12,"0BE574","pre",NULL,0,5,"-r*x=9",NULL,NULL,NULL,NULL,"x=9/-r","x=-9r",0,9339,13246,NULL,NULL,"2015-02-18 09:58:22"
3,12,"0BE574","pre",NULL,1,7,"8=r+x/a",NULL,NULL,NULL,NULL,"(8-r)*a=x","a(8-r)=x",0,9606,20071,NULL,NULL,"2015-02-18 09:58:42"
4,12,"0BE574","pre",NULL,2,1,"7=c+x",NULL,NULL,NULL,NULL,"7-c=x","7-c=x",1,3460,6772,NULL,NULL,"2015-02-18 09:58:49"
5,12,"0BE574","pre",NULL,3,21,"10/(x+q)=f",NULL,NULL,NULL,NULL,"10/f-q=x","(10-fq)/f=",0,10869,32900,NULL,NULL,"2015-02-18 09:59:23"
6,12,"0BE574","pre",NULL,4,22,"3/(c-x)=n",NULL,NULL,NULL,NULL,"x=c-3/n","x=(nc-3)/n",0,21279,54987,NULL,NULL,"2015-02-18 10:00:18"
7,12,"0BE574","pre",NULL,5,15,"d*(3+x)=k",NULL,NULL,NULL,NULL,"x=k/d-3","x=k/d-3",1,11728,20236,NULL,NULL,"2015-02-18 10:00:39"
8,12,"0BE574","pre",NULL,6,27,"ax+f+12x=e",NULL,NULL,NULL,NULL,"x=(e-f)/(a+12)","x=(e-f)/(1",0,11535,27840,NULL,NULL,"2015-02-18 10:01:07"
9,12,"0BE574","pre",NULL,7,28,"f=14x-b-xu",NULL,NULL,NULL,NULL,"(f+b)/(14-u)=x","(f+b)/(-14",0,6034,111877,NULL,NULL,"2015-02-18 10:03:00"
10,12,"0BE574","pre",NULL,8,26,"x*15-x=m",NULL,NULL,NULL,NULL,"x=m/14","x=m/14",1,8456,19721,NULL,NULL,"2015-02-18 10:03:20"
11,12,"0BE574","pre",NULL,9,18,"-n/r=4/x",NULL,NULL,NULL,NULL,"x=(4r)/-n","x=-4r/n",0,20165,28629,NULL,NULL,"2015-02-18 10:03:49"
12,12,"0BE574","pre",NULL,10,17,"15/v=n/x",NULL,NULL,NULL,NULL,"x=(nv)/15","x=nv/15",0,17736,32128,NULL,NULL,"2015-02-18 10:04:22"
13,12,"0BE574","pre",NULL,11,14,"(x-g)*t=14",NULL,NULL,NULL,NULL,"x=14/t+g","x=(14+gt)/",0,25386,52423,NULL,NULL,"2015-02-18 10:05:15"
14,12,"0BE574","pre",NULL,12,13,"-a/x=14",NULL,NULL,NULL,NULL,"-a/14=x","-a/14=x",1,3031,7478,NULL,NULL,"2015-02-18 10:05:23"
15,12,"0BE574","pre",NULL,13,9,"5=g+x*k",NULL,NULL,NULL,NULL,"(5-g)/k=x","(5-g)/k=x",1,5606,14779,NULL,NULL,"2015-02-18 10:05:38"
16,12,"0BE574","pre",NULL,14,11,"8=(r+x)/k",NULL,NULL,NULL,NULL,"8k-r=x","8k-r=x",1,7238,11167,NULL,NULL,"2015-02-18 10:05:50"
17,12,"0BE574","pre",NULL,15,8,"n=16*x-h",NULL,NULL,NULL,NULL,"(n+h)/16=x","(n+h)/16=x",1,7893,17976,NULL,NULL,"2015-02-18 10:06:08"
18,12,"0BE574","pre",NULL,16,29,"8x+p=ex",NULL,NULL,NULL,NULL,"p/(e-8)=x","p/(e-8)=x",1,2134,52886,NULL,NULL,"2015-02-18 10:07:02"
19,12,"0BE574","pre",NULL,17,16,"-b/x=1/12",NULL,NULL,NULL,NULL,"-b*12=x","-12b=x",0,5925,9843,NULL,NULL,"2015-02-18 10:07:12"
20,12,"0BE574","pre",NULL,18,10,"(x-k)/c=15",NULL,NULL,NULL,NULL,"x=c15+k","x=15c+k",0,3707,10033,NULL,NULL,"2015-02-18 10:07:22"
21,12,"0BE574","pre",NULL,19,2,"12=x/b",NULL,NULL,NULL,NULL,"12b=x","12b=x",1,3011,5028,NULL,NULL,"2015-02-18 10:07:28"
22,12,"0BE574","pre",NULL,20,23,"ex+6x=v",NULL,NULL,NULL,NULL,"x=v/(e+6)","x=v/(e+6)",1,5339,17200,NULL,NULL,"2015-02-18 10:07:46"
23,12,"0BE574","pre",NULL,21,4,"11=x*a",NULL,NULL,NULL,NULL,"11/a=x","11/a=x",1,3676,5749,NULL,NULL,"2015-02-18 10:07:52"
24,12,"0BE574","pre",NULL,22,25,"x+7x=g",NULL,NULL,NULL,NULL,"x=g/(1+7)","x=g/8",0,15128,18068,NULL,NULL,"2015-02-18 10:08:10"
25,12,"0BE574","pre",NULL,23,31,"c/(x+6)+1=w/(x+6)",NULL,NULL,NULL,NULL,"x=w-c-6","x=w-6-c",0,46792,52971,NULL,NULL,"2015-02-18 10:09:04"
26,12,"0BE574","pre",NULL,24,20,"e=6+p/x",NULL,NULL,NULL,NULL,"x=p/(e-6)","x=p/(e-6)",1,13785,20068,NULL,NULL,"2015-02-18 10:09:25"
27,12,"0BE574","pre",NULL,25,3,"x/-6=m",NULL,NULL,NULL,NULL,"x=-6m","x=-6m",1,4775,6848,NULL,NULL,"2015-02-18 10:09:32"
28,12,"0BE574","pre",NULL,26,6,"11=x/k-f",NULL,NULL,NULL,NULL,"(11+f)*k=x","k(11+f)=x",0,5531,11801,NULL,NULL,"2015-02-18 10:09:44"
