problemBase,solutionBase,problem1,solution1,problem2,solution2
x-a=b,x=b+a,x-k=3,x=3+k,x-3=s,x=s+3
b=a+x,b-a=x,7=c+x,7-c=x,4=b+x,4-b=x
b=x/a,ba=x,m=x/13,m13=x,12=x/b,12b=x
x/-a=b,x=-ab,x/-6=m,x=-6m,x/-10=s,x=-10s
b=x*a,b/a=x,11=x*a,11/a=x,14=x*c,14/c=x
-a*x=b,x=b/-a,-r*x=9,x=9/-r,-15*x=m,x=m/-15
c=b+x/a,(c-b)*a=x,8=r+x/a,(8-r)*a=x,p=9+x/a,(p-9)*a=x
c=a*x-b,(c+b)/a=x,b=t*x-11,(b+11)/t=x,n=16*x-h,(n+h)/16=x
c=(a+x)/b,cb-a=x,8=(b+x)/n,8n-b=x,8=(r+x)/k,8k-r=x
b=a/x,x=a/b,w=12/x,x=12/w,s=10/x,x=10/s
b*(a+x)=c,x=c/b-a,d*(3+x)=k,x=k/d-3,t*(15+x)=w,x=w/t-15
-a/x=1/b,-ab=x,-14/x=1/q,-14q=x,-b/x=1/12,-b*12=x
b/c=a/x,x=(ac)/b,16/m=c/x,x=(cm)/16,15/v=n/x,x=(nv)/15
c=b+a/x,x=a/(c-b),e=6+p/x,x=p/(e-6),r=9+t/x,x=t/(r-9)
a/(x+b)=c,a/c-b=x,10/(x+q)=f,10/f-q=x,r/(x+16)=v,r/v-16=x
ax+bx=c,x=c/(a+b),ex+6x=v,x=v/(e+6),hx+nx=13,x=13/(h+n)
d=ax-b-xc,(d+b)/(a-c)=x,f=14x-b-xu,(f+b)/(14-u)=x,14=bx-r-xm,(14+r)/(b-m)=x
x*a-x=b,x=b/(a-1),x*15-x=m,x=m/14,x*10-x=d,x=d/9
c=x/a-bx,c/(1/a-b)=x,p=x/12-tx,p/(1/12-t)=x,e=x/8-tx,e/(1/8-t)=x
bx+c=ax,c/(a-b)=x,8x+p=ex,p/(e-8)=x,rx+h=7x,h/(7-r)=x
